Web Search interest: medicina+saúde+saude ciência+ciencia+tecnologia arte+cultura moda política+politica
Brazil 2006-2015

Interest over time
Week,medicina+saúde+saude,ciência+ciencia+tecnologia,arte+cultura,moda,política+politica
2006-01-01 - 2006-01-07,82,18,47,21,8
2006-01-08 - 2006-01-14,92,19,46,23,8
2006-01-15 - 2006-01-21,88,20,47,22,9
2006-01-22 - 2006-01-28,88,18,46,22,8
2006-01-29 - 2006-02-04,87,21,52,19,11
2006-02-05 - 2006-02-11,90,26,65,19,12
2006-02-12 - 2006-02-18,93,32,74,21,16
2006-02-19 - 2006-02-25,91,27,73,18,16
2006-02-26 - 2006-03-04,84,24,67,18,14
2006-03-05 - 2006-03-11,96,32,85,22,20
2006-03-12 - 2006-03-18,98,36,91,21,24
2006-03-19 - 2006-03-25,99,35,97,22,23
2006-03-26 - 2006-04-01,99,35,96,22,24
2006-04-02 - 2006-04-08,95,32,92,23,24
2006-04-09 - 2006-04-15,85,27,79,20,20
2006-04-16 - 2006-04-22,92,30,86,22,22
2006-04-23 - 2006-04-29,96,29,85,23,22
2006-04-30 - 2006-05-06,88,28,84,22,23
2006-05-07 - 2006-05-13,89,29,89,22,23
2006-05-14 - 2006-05-20,87,29,91,22,24
2006-05-21 - 2006-05-27,88,32,99,23,26
2006-05-28 - 2006-06-03,89,30,100,22,27
2006-06-04 - 2006-06-10,87,28,97,22,26
2006-06-11 - 2006-06-17,78,25,82,19,21
2006-06-18 - 2006-06-24,87,27,86,19,21
2006-06-25 - 2006-07-01,78,22,74,20,17
2006-07-02 - 2006-07-08,80,20,60,20,15
2006-07-09 - 2006-07-15,77,20,56,20,11
2006-07-16 - 2006-07-22,73,18,49,20,10
2006-07-23 - 2006-07-29,77,20,54,18,10
2006-07-30 - 2006-08-05,78,25,66,18,15
2006-08-06 - 2006-08-12,82,26,70,19,19
2006-08-13 - 2006-08-19,82,27,77,21,21
2006-08-20 - 2006-08-26,82,27,80,21,25
2006-08-27 - 2006-09-02,82,27,76,20,24
2006-09-03 - 2006-09-09,74,23,67,19,22
2006-09-10 - 2006-09-16,80,26,74,21,27
2006-09-17 - 2006-09-23,78,26,70,21,28
2006-09-24 - 2006-09-30,74,24,66,20,28
2006-10-01 - 2006-10-07,71,22,62,20,27
2006-10-08 - 2006-10-14,71,20,60,20,18
2006-10-15 - 2006-10-21,79,26,74,20,23
2006-10-22 - 2006-10-28,82,26,70,22,23
2006-10-29 - 2006-11-04,72,23,66,21,20
2006-11-05 - 2006-11-11,79,25,76,20,21
2006-11-12 - 2006-11-18,73,23,69,21,18
2006-11-19 - 2006-11-25,78,23,70,21,20
2006-11-26 - 2006-12-02,72,21,60,20,15
2006-12-03 - 2006-12-09,66,19,52,19,12
2006-12-10 - 2006-12-16,65,17,47,19,10
2006-12-17 - 2006-12-23,50,13,38,17,5
2006-12-24 - 2006-12-30,50,10,31,18,4
