Web Search interest: medicina+saude+saúde meio ambiente religião+religiao economia esporte
Brazil 2006-2015

Interest over time
Week,medicina+saude+saúde,meio ambiente,religião+religiao,economia,esporte
2006-01-01 - 2006-01-07,60,5,3,7,17
2006-01-08 - 2006-01-14,65,6,3,6,17
2006-01-15 - 2006-01-21,66,6,3,6,16
2006-01-22 - 2006-01-28,64,7,2,6,18
2006-01-29 - 2006-02-04,66,6,3,7,17
2006-02-05 - 2006-02-11,68,9,5,12,16
2006-02-12 - 2006-02-18,70,10,5,13,18
2006-02-19 - 2006-02-25,67,9,5,14,19
2006-02-26 - 2006-03-04,62,8,5,13,18
2006-03-05 - 2006-03-11,71,12,7,19,18
2006-03-12 - 2006-03-18,72,11,8,19,21
2006-03-19 - 2006-03-25,75,12,8,19,21
2006-03-26 - 2006-04-01,73,12,7,20,21
2006-04-02 - 2006-04-08,73,11,9,19,20
2006-04-09 - 2006-04-15,61,11,8,16,20
2006-04-16 - 2006-04-22,69,11,8,16,22
2006-04-23 - 2006-04-29,73,12,7,17,22
2006-04-30 - 2006-05-06,68,11,8,18,23
2006-05-07 - 2006-05-13,69,12,8,18,21
2006-05-14 - 2006-05-20,67,13,9,18,22
2006-05-21 - 2006-05-27,67,15,11,22,23
2006-05-28 - 2006-06-03,68,21,12,22,25
2006-06-04 - 2006-06-10,64,28,14,22,25
2006-06-11 - 2006-06-17,57,14,11,18,23
2006-06-18 - 2006-06-24,66,13,11,19,22
2006-06-25 - 2006-07-01,60,10,8,15,22
2006-07-02 - 2006-07-08,60,8,7,11,17
2006-07-09 - 2006-07-15,56,7,4,8,16
2006-07-16 - 2006-07-22,54,5,4,7,16
2006-07-23 - 2006-07-29,56,7,4,8,16
2006-07-30 - 2006-08-05,57,8,5,10,17
2006-08-06 - 2006-08-12,61,9,6,13,18
2006-08-13 - 2006-08-19,62,10,7,14,21
2006-08-20 - 2006-08-26,62,11,7,15,21
2006-08-27 - 2006-09-02,62,10,7,15,22
2006-09-03 - 2006-09-09,53,8,6,13,20
2006-09-10 - 2006-09-16,61,11,7,16,21
2006-09-17 - 2006-09-23,59,10,6,15,22
2006-09-24 - 2006-09-30,57,9,5,13,19
2006-10-01 - 2006-10-07,53,8,5,13,19
2006-10-08 - 2006-10-14,52,8,5,11,19
2006-10-15 - 2006-10-21,60,10,6,15,20
2006-10-22 - 2006-10-28,60,11,6,14,23
2006-10-29 - 2006-11-04,55,10,6,14,22
2006-11-05 - 2006-11-11,59,12,6,15,25
2006-11-12 - 2006-11-18,55,10,6,14,23
2006-11-19 - 2006-11-25,58,10,6,14,22
2006-11-26 - 2006-12-02,53,8,5,12,22
2006-12-03 - 2006-12-09,50,6,3,9,20
2006-12-10 - 2006-12-16,47,5,3,7,22
2006-12-17 - 2006-12-23,39,3,2,4,22
2006-12-24 - 2006-12-30,36,3,2,3,19
2006-12-31 - 2007-01-06,47,3,2,4,19
2007-01-07 - 2007-01-13,50,4,2,5,21
2007-01-14 - 2007-01-20,56,4,2,5,22
2007-01-21 - 2007-01-27,54,5,2,5,24
2007-01-28 - 2007-02-03,57,6,2,5,23
2007-02-04 - 2007-02-10,55,8,2,7,22
2007-02-11 - 2007-02-17,53,8,3,9,23
2007-02-18 - 2007-02-24,48,7,3,8,21
2007-02-25 - 2007-03-03,56,11,5,11,22
2007-03-04 - 2007-03-10,57,12,5,12,23
2007-03-11 - 2007-03-17,61,12,6,13,22
2007-03-18 - 2007-03-24,59,12,6,13,23
2007-03-25 - 2007-03-31,56,11,5,14,23
2007-04-01 - 2007-04-07,48,10,5,10,23
2007-04-08 - 2007-04-14,55,12,6,12,23
2007-04-15 - 2007-04-21,57,11,6,13,25
2007-04-22 - 2007-04-28,56,10,5,11,26
2007-04-29 - 2007-05-05,52,10,5,10,25
2007-05-06 - 2007-05-12,55,11,7,12,28
2007-05-13 - 2007-05-19,55,14,7,12,26
2007-05-20 - 2007-05-26,55,17,6,14,27
2007-05-27 - 2007-06-02,59,22,6,14,27
2007-06-03 - 2007-06-09,50,33,6,12,27
2007-06-10 - 2007-06-16,55,20,7,15,26
2007-06-17 - 2007-06-23,53,14,6,13,26
2007-06-24 - 2007-06-30,52,12,6,11,27
2007-07-01 - 2007-07-07,50,10,4,8,29
2007-07-08 - 2007-07-14,49,9,4,7,29
2007-07-15 - 2007-07-21,47,7,3,6,32
2007-07-22 - 2007-07-28,50,6,3,6,29
2007-07-29 - 2007-08-04,50,8,4,8,26
2007-08-05 - 2007-08-11,52,10,5,10,26
2007-08-12 - 2007-08-18,53,10,6,12,26
2007-08-19 - 2007-08-25,56,12,6,13,27
2007-08-26 - 2007-09-01,54,11,6,13,29
2007-09-02 - 2007-09-08,51,11,5,12,29
2007-09-09 - 2007-09-15,55,12,6,13,27
2007-09-16 - 2007-09-22,54,13,6,13,27
2007-09-23 - 2007-09-29,54,11,5,12,27
2007-09-30 - 2007-10-06,54,11,5,11,28
2007-10-07 - 2007-10-13,49,9,5,9,28
2007-10-14 - 2007-10-20,54,10,5,11,26
2007-10-21 - 2007-10-27,56,12,6,12,27
2007-10-28 - 2007-11-03,53,11,5,12,34
2007-11-04 - 2007-11-10,55,11,6,13,28
2007-11-11 - 2007-11-17,50,10,5,11,30
2007-11-18 - 2007-11-24,53,11,6,13,27
2007-11-25 - 2007-12-01,49,9,5,11,30
2007-12-02 - 2007-12-08,46,8,3,9,30
2007-12-09 - 2007-12-15,43,6,3,7,27
2007-12-16 - 2007-12-22,42,4,2,5,29
2007-12-23 - 2007-12-29,33,3,2,3,30
2007-12-30 - 2008-01-05,41,4,2,4,29
2008-01-06 - 2008-01-12,54,5,2,4,28
2008-01-13 - 2008-01-19,55,5,2,5,32
2008-01-20 - 2008-01-26,54,5,2,5,31
2008-01-27 - 2008-02-02,49,5,2,5,31
2008-02-03 - 2008-02-09,43,4,2,5,30
2008-02-10 - 2008-02-16,56,7,2,7,30
2008-02-17 - 2008-02-23,57,8,3,9,35
2008-02-24 - 2008-03-01,58,10,4,10,34
2008-03-02 - 2008-03-08,58,9,4,11,33
2008-03-09 - 2008-03-15,58,10,5,12,31
2008-03-16 - 2008-03-22,51,8,4,10,33
2008-03-23 - 2008-03-29,62,10,5,13,33
2008-03-30 - 2008-04-05,63,10,5,13,33
2008-04-06 - 2008-04-12,61,10,6,13,34
2008-04-13 - 2008-04-19,55,9,5,12,30
2008-04-20 - 2008-04-26,55,9,5,11,34
2008-04-27 - 2008-05-03,55,8,4,9,37
2008-05-04 - 2008-05-10,53,10,5,10,41
2008-05-11 - 2008-05-17,55,12,5,11,37
2008-05-18 - 2008-05-24,51,12,5,10,38
2008-05-25 - 2008-05-31,56,18,6,12,36
2008-06-01 - 2008-06-07,52,34,6,13,37
2008-06-08 - 2008-06-14,54,19,6,12,41
2008-06-15 - 2008-06-21,52,14,5,11,34
2008-06-22 - 2008-06-28,48,11,5,10,36
2008-06-29 - 2008-07-05,48,9,4,8,37
2008-07-06 - 2008-07-12,46,7,3,7,40
2008-07-13 - 2008-07-19,46,6,2,5,42
2008-07-20 - 2008-07-26,45,6,3,6,45
2008-07-27 - 2008-08-02,47,6,3,6,48
2008-08-03 - 2008-08-09,52,8,4,9,51
2008-08-10 - 2008-08-16,53,9,5,11,51
2008-08-17 - 2008-08-23,55,10,6,12,57
2008-08-24 - 2008-08-30,55,10,6,12,45
2008-08-31 - 2008-09-06,57,11,5,11,44
2008-09-07 - 2008-09-13,60,10,5,12,40
2008-09-14 - 2008-09-20,57,11,5,13,40
2008-09-21 - 2008-09-27,54,11,5,12,40
2008-09-28 - 2008-10-04,53,10,4,11,44
